  Parameter             | Access | Value             | Min      | Max      | Description
  FOC_hall_iir          | R_W    | 0.950000          | 0.00     | 1.00     | Decay constant for hall preload (0-1.0)
  FOC_hall_Vt           | R_W    | 2.000000          | 0.00     | 100.00   | Hall transition voltage
  FOC_hfi_eHz           | R_W    | 0.000000          | 0.00     | 2000.00  | HFI Max Frequency
  FOC_hfi_type          | R_W    | 0                 | 0        | 3        | HFI type [0=None, 1=45deg, 2=d axis]
  FOC_hfi_volt          | R_W    | 1.000000          | 0.00     | 50.00    | HFI voltage
  FOC_Max_Mod           | R_W    | 0.950000          | 0.10     | 1.12     | Max modulation index; typically 0.95, can over modulate to 1.12
  FOC_obs_type          | R_W    | 1                 | 0        | 4        | Observer type, 0=None, 1=MXLLambda, 2MXL, 3=OrtegaOrig, 4=PLL
  FOC_ol_step           | R_W    | 0                 | 0        | 6000     | Angle per PWM period openloop (65535 per erev)
  FOC_ortega_gain       | R_W    | 1000000.000000    | 1.00     | 100000000| Ortega gain, typically 1M
  Hall_flux             | R_W    | Array[12]         | -10.00   | 10.00    | hall start table
  id                    | R      | 0.005158          | -inf     | inf      | Phase Idq_d smoothed
  input_opt             | R_W    | 32                | 0        | 128      | Inputs [1=ADC1 2=ADC2 4=PPM 8=UART 16=Killswitch 32=CANADC1 64=CANADC2 128=ADC12DIFF]
  iq                    | R      | 0.004025          | -inf     | inf      | Phase Idq_q smoothed
  iqreq                 | R      | 0.000000          | -4096.00 | 4096.00  | mtr[0].FOC.Idq_req.q
  meas_cl_curr          | R_W    | 8.500000          | 0.50     | 100.00   | Measuring q closed loop current
  meas_curr             | R_W    | 20.000000         | 0.50     | 100.00   | Measuring current
  meas_volt             | R_W    | 4.000000          | 0.50     | 100.00   | Measuring voltage
  node_id               | R_W    | 11                | 1        | 254      | Node ID
  opt_app_type          | R_W    | 0                 | 0        | 3        | App type, 0=none, 1=Vehicle, 2,3 = undefined
  opt_circ_lim          | R_W    | 2                 | 0        | 2        | Circle limiter [0=OFF, 1=ON, 2=ON Vd]
  opt_cont_type         | R_W    | 0                 | 0        | 4        | Cont type: 0=Torque, 1=Speed, 2=Duty, 3=Position, 4=Measuring, 5=Handbrake
  opt_fw                | R_W    | 2                 | 0        | 2        | Field weakening [0=OFF, 1=ON, 2=ON V2]
  opt_hall_start        | R_W    | false             | false    | true     | Use hall start
  opt_lr_obs            | R_W    | false             | false    | true     | Use LR observer
  opt_motor_temp        | R_W    | false             | false    | true     | Motor has temperature sensor
  opt_mtpa              | R_W    | 0                 | 0        | 3        | MTPA type = 0=none, 1=setpoint, 2=magnitude, 3=iq
  opt_phase_bal         | R_W    | false             | false    | true     | Use highhopes phase balancing
  opt_pwm_type          | R_W    | 0                 | 0        | 3        | Modulator [0=SVPWM, 1=sinusoidal, 2=Bottom clamp, 3=Sin/bottom combo]
  par_dir               | R_W    | 0                 | 0        | 1        | Motor direction
  par_flux              | R_W    | 0.001350          | 0.00     | 100.00   | Flux linkage
  par_fw_curr           | R_W    | 0.000000          | 0.00     | 300.00   | Max field weakenning current
  par_i_max             | R_W    | 10.000000         | 0.00     | 1000.00  | Max motor current
  par_i_min             | R_W    | -10.000000        | -1000.00 | 0.00     | Min motor current
  par_i_park            | R_W    | 0.000000          | 0.00     | 300.00   | Max current for handbrake
  par_ibat_max          | R_W    | 10.000000         | 0.00     | 1000.00  | Max battery current power
  par_ld                | R_W    | 0.000140          | 0.00     | 10.00    | Phase inductance
  par_lq                | R_W    | 0.000210          | 0.00     | 10.00    | Phase inductance
  par_motor_sensor      | R_W    | 4                 | 0        | 30       | 0=SL, 1=Hall, 2=OL, 3=ABSENC, 4=INC_ENC, 5=HFI
  par_p_max             | R_W    | 3000.000000       | 0.00     | 50000.00 | Max power
  par_pp                | R_W    | 14                | 0        | 255      | Motor pole pairs
  par_r                 | R_W    | 0.650000          | 0.00     | 10.00    | Phase resistance
  par_rpm_max           | R_W    | 0                 | 0        | 300000   | Max RPM
  par_SL_sensor         | R_W    | 0                 | 0        | 30       | 0=OL, 1=Hall, 2=PWMENC, 3=HFI
  password              | R_W    |                   |          |          | Password for SU
  safe_count            | R      | 100               | 0        | 1000     | Live count before allowing throttle
  safe_start            | R_W    | 100               | 0        | 1000     | Countdown before allowing throttle
  speed_ki              | R_W    | 0.100000          | 0.00     | 6000000.0| amps/Hz integral gain
  speed_kp              | R_W    | 0.500000          | 0.00     | 6000000.0| amps/Hz proportional gain
  speed_req             | R_W    | 0.000000          | 0.00     | 5000.00  | Hz
  TMOS                  | R      | 300.291382        | 0.00     | 4096.00  | MOSFET temp, kelvin
  TMOT                  | R      | 179.163300        | 0.00     | 4096.00  | Motor temp, kelvin
  uart_dreq             | R_W    | 0.000000          | -1000.00 | 1000.00  | Uart input
  uart_req              | R_W    | 0.000000          | -1000.00 | 1000.00  | Uart input
  vbus                  | R      | 32.195755         | 0.00     | inf      | Read input voltage
  Vd                    | R      | -0.017286         | -4096.00 | 4096.00  | FOC_Vdq_d
  Vq                    | R      | -0.023972         | -4096.00 | 4096.00  | FOC_Vdq_q
